ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code
6731224,HR149035,02/01/2009 02:20:00 PM,023XX W LOGAN BLVD,0460,BATTERY,SIMPLE,SPORTS ARENA/STADIUM,True,False,1432,14.0,1.0,22.0,08B
6741361,HR158618,02/06/2009 09:00:00 PM,045XX S HERMITAGE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,914,9.0,20.0,61.0,14
6865955,HR270372,04/16/2009 02:50:00 AM,055XX S CORNELL AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER,False,False,2132,2.0,5.0,41.0,26
7036971,HR443534,07/22/2009 11:30:00 PM,071XX S CORNELL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,324,3.0,5.0,43.0,14
7057009,HR463223,08/03/2009 12:01:00 AM,062XX S NEENAH AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,812,8.0,23.0,64.0,26
7077972,HR484118,08/14/2009 09:10:00 PM,056XX S DR MARTIN LUTHER KING JR DR,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,False,False,234,2.0,20.0,40.0,03
7095776,HR503961,08/24/2009 03:00:00 AM,076XX S SEELEY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,False,False,611,6.0,18.0,71.0,14
7163545,HR571351,10/04/2009 09:09:47 PM,033XX W VAN BUREN ST,0560,ASSAULT,SIMPLE,RESIDENCE,False,False,1134,11.0,28.0,27.0,08A
7179226,HR589527,10/15/2009 04:50:00 PM,050XX S COTTAGE GROVE AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,True,False,223,2.0,4.0,38.0,18
7195675,HR589993,10/15/2009 08:00:00 PM,027XX W LEXINGTON ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),STREET,True,False,1135,11.0,2.0,27.0,18
7234630,HR649409,11/18/2009 03:15:00 PM,052XX W WASHINGTON BLVD,0810,THEFT,OVER $500,SIDEWALK,False,False,1523,15.0,28.0,25.0,06
7299281,HS103144,01/03/2010 10:30:00 AM,011XX W 103RD PL,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,2232,22.0,34.0,73.0,05
7319528,HS119890,01/13/2010 03:09:00 PM,025XX S KILDARE AVE,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",True,False,1013,10.0,22.0,30.0,08B
7356951,HS150909,02/04/2010 12:00:00 PM,049XX S ARCHER AVE,1330,CRIMINAL TRESPASS,TO LAND,"SCHOOL, PUBLIC, BUILDING",True,False,821,8.0,14.0,57.0,26
7374212,HS176989,02/23/2010 02:32:00 AM,012XX W CHICAGO AVE,0560,ASSAULT,SIMPLE,STREET,False,True,1323,12.0,27.0,24.0,08A
7393718,HS191844,02/27/2010 08:00:00 PM,037XX W 13TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,1011,10.0,24.0,29.0,08B
7455815,HS256781,04/13/2010 12:00:00 AM,036XX N RAVENSWOOD AVE,0843,THEFT,ATTEMPT FINANCIAL IDENTITY THEFT,RESIDENCE,False,False,1923,19.0,47.0,6.0,06
7544036,HS347551,06/07/2010 01:00:00 PM,028XX W 19TH ST,0820,THEFT,$500 AND UNDER,HOSPITAL BUILDING/GROUNDS,False,False,1022,10.0,12.0,30.0,06
7604915,HS401372,07/08/2010 11:30:00 AM,115XX S LA SALLE ST,031A,ROBBERY,ARMED: HANDGUN,STREET,False,False,522,5.0,34.0,53.0,03
7703115,HS510444,09/11/2010 03:20:00 PM,048XX W RICE ST,0560,ASSAULT,SIMPLE,APARTMENT,False,False,1531,15.0,37.0,25.0,08A
7745250,HS552994,10/06/2010 02:00:00 PM,004XX W WEBSTER AVE,1200,DECEPTIVE PRACTICE,STOLEN PROP: BUY/RECEIVE/POS.,STREET,True,False,1812,18.0,43.0,7.0,13
7858802,HS672089,12/22/2010 08:00:00 AM,016XX W 48TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,931,9.0,20.0,61.0,07
8000484,HT232337,04/03/2011 02:15:00 PM,090XX S BALTIMORE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,424,4.0,10.0,46.0,18
8001759,HT233327,04/04/2011 08:32:00 AM,024XX W OGDEN AVE,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,False,False,1023,10.0,28.0,28.0,26
